Time;Year;Country Name;Country Code;Population, total [SP.POP.TOTL];CO2 emissions (kt) [EN.ATM.CO2E.KT];Methane emissions (kt of CO2 equivalent) [EN.ATM.METH.KT.CE];Nitrous oxide emissions (thousand metric tons of CO2 equivalent) [EN.ATM.NOXE.KT.CE];Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent) [EN.ATM.GHGO.KT.CE];Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC];Fossil fuel energy consumption (% of total) [EG.USE.COMM.FO.ZS];Renewable energy consumption (% of total final energy consumption) [EG.FEC.RNEW.ZS];Energy imports, net (% of energy use) [EG.IMP.CONS.ZS];Electricity production from renewable sources, excluding hydroelectric (% of total) [EG.ELC.RNWX.ZS];Electricity production from oil, gas and coal sources (% of total) [EG.ELC.FOSL.ZS];Electricity production from nuclear sources (% of total) [EG.ELC.NUCL.ZS];Electricity production from hydroelectric sources (% of total) [EG.ELC.HYRO.ZS];Renewable electricity output (% of total electricity output) [EG.ELC.RNEW.ZS];Adjusted net national income per capita (constant 2015 US$) [NY.ADJ.NNTY.PC.KD];Manufacturing, value added (constant 2015 US$) [NV.IND.MANF.KD];Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE];Alternative and nuclear energy (% of total energy use) [EG.USE.COMM.CL.ZS]
1980;1980;Sweden;SWE;8310531;;;;1446,022201;10703,40752;60,12571363;;60,16205793;0,748577599;10,57041405;27,50114207;61,11964783;;25689,80051;29091198737;4871,533239;29,55557052
1980;1980;Switzerland;CHE;6319408;;;;1579,389067;5992,333459;68,40055679;;64,91529315;0,359107421;1,766476388;29,77893098;68,09548521;;;;3170,575472;32,75464959
1980;1980;Japan;JPN;116807000;;;;12604,5025;4716,677939;91,32407256;;87,43438089;0,157196728;69,99586049;14,42559442;15,42134836;;16283,13211;;2949,503934;8,675927154
1981;1981;Canada;CAN;24819915;;;;36788,15;13239,40876;79,51384386;;-6,874907253;0,486093326;21,12380269;10,26148645;68,12861753;;21624,88726;;7555,244931;18,15438594
1981;1981;United States;USA;229466000;;;;140749,0031;9976,693715;90,83194655;;11,80134609;0,263477093;77,07260987;11,8601212;10,80379184;;25524,24467;;7647,538054;5,877900159
1981;1981;United Kingdom;GBR;56333829;;;;16484,19938;4572,953846;94,66282545;;-7,793724529;0;84,70673697;13,72223045;1,571032574;;17900,146;;3415,37757;5,337175068
1981;1981;Italy;ITA;56501675;;;;7817,103938;3096,934737;93,35108724;;83,73066888;1,938486985;72,50131319;1,512679236;24,04752059;;18008,73907;;2265,93109;5,230516622
1981;1981;Germany;DEU;78407907;;;;20480,10938;5832,064871;92,97445558;;44,24968632;0,627275584;80,66712704;14,01065128;4,255596628;;19122,21379;;4399,499823;5,455636747
1981;1981;France;FRA;55371044;;;;14858,44422;4585,465284;77,75584648;;65,84710601;0,275006349;35,32271523;38,21282154;26,18945688;;19603,90632;1,53E+11;3382,781098;18,00517181
1981;1981;Belgium;BEL;9858982;;;;906,8078906;4910,953281;92,03893617;;81,2207023;0,581406965;72,96557511;25,69179437;0,761223552;;20169,7709;;4415,358604;7,773548934
1981;1981;Netherlands;NLD;14247208;;;;17573,95508;4292,700717;98,1149035;;-9,745357306;1,693909731;92,5951946;5,710895665;0;;22460,48699;41045599473;4269,41412;1,567220773
1981;1981;Sweden;SWE;8320503;;;;1465,58356;11112,30896;55,14980363;;54,58658506;0,895513681;4,336580907;36,63633005;58,09948856;;25617,4059;28032186816;5097,154463;35,26956014
1981;1981;Switzerland;CHE;6354074;;;;2285,108826;6119,695805;65,79670372;;61,13648268;0,841146738;1,132461319;29,57518231;68,45120963;;;;3093,323276;35,90269855
1981;1981;Japan;JPN;117661000;;;;7227,013125;4753,852169;90,74452145;;86,78777226;0,154409281;69,61618264;15,13417753;15,09523055;;16681,36798;;2864,052175;9,255478256
1982;1982;Canada;CAN;25116942;;;;-43751,00625;12981,07867;79,06654511;;-12,34526219;0,552215186;22,99683231;9,8972761;66,5536764;;20913,95895;;7173,555164;18,43107348
